ticker,factset_ticker,bloomberg_id,isin,company,region,gics_sector,gics_industry,market_cap_usd_m,exposure_latest,materiality_latest,pricing_power_latest,exposure_w1,exposure_w2,exposure_w3,exposure_w4,exposure_w5,materiality_w1,materiality_w2,materiality_w3,materiality_w4,materiality_w5,pricing_power_w1,pricing_power_w2,pricing_power_w3,pricing_power_w4,pricing_power_w5,exposure_delta_1_2,exposure_delta_2_3,exposure_delta_3_4,exposure_delta_4_5,materiality_delta_1_2,materiality_delta_2_3,materiality_delta_3_4,materiality_delta_4_5,pricing_delta_2_3,pricing_delta_3_4,pricing_delta_4_5,materiality_score,pricing_power_score,materiality_trend,alpha_flag
GGAS.NS,539336-IN,GUJGA IS,INE844O01030,Gujarat Gas Ltd,Asia/Pacific,Utilities,Utilities,3148.9033,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
051900.KS,051900-KR,051900 KP,KR7051900009,LG H&H Co Ltd.,Asia/Pacific,Consumer Staples,Household & Personal Products,3131.2651,Adopter,Insignificant,Neutral,Don't Know,Don't Know,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,Neutral,High,Neutral,Same,Up,Same,Same,Same,Same,Same,Same,Down,Up,Down,1.0,2,0.0,0
APAM.AS,APAM-NL,APAM NA,LU0569974404,Aperam SA,Europe,Materials,Materials,3125.4197,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
TOP.BK,TOP-TH,TOP TB,TH0796010005,Thai Oil Public Company,Asia/Pacific,Energy,Energy,3062.754,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
BRBR.N,BRBR-US,BRBR US,US07831C1036,BellRing Brands Inc.,North America,Consumer Staples,Household & Personal Products,3024.8323,Adopter,Insignificant,Low,Don't Know,Don't Know,,Adopter,Adopter,Insignificant,Insignificant,,Insignificant,Insignificant,,Neutral,,High,Low,,,,Same,,,,Same,,,Down,1.0,1,0.0,0
PGAS.JK,PGAS-ID,PGAS IJ,ID1000111602,Perusahaan Gas Negara,Asia/Pacific,Utilities,Utilities,3010.737,Adopter,Insignificant,Neutral,Enabler,Enabler,Enabler,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Down,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
NIC.AX,NIC-AU,NIC AU,AU0000018236,Nickel Industries,Asia/Pacific,Materials,Materials,2938.8665,Adopter,Insignificant,Neutral,,Protected,Protected,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Up,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
5741.T,5741-JP,5741 JT,JP3826900007,UACJ,Japan,Materials,Materials,2936.974,Adopter,Insignificant,High,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,High,High,High,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,3,0.0,0
KLBF.JK,KLBF-ID,KLBF IJ,ID1000125107,Kalbe Farma Tbk PT,Asia/Pacific,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2935.8298,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
SZGG.DE,SZG-DE,SZG GY,DE0006202005,Salzgitter AG,Europe,Materials,Materials,2934.5264,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
ERAS.O,ERAS-US,ERAS US,US29479A1088,"Erasca, Inc.",North America,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2925.0708,Adopter,Insignificant,Neutral,Protected,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
APLS.O,APLS-US,APLS US,US03753U1060,Apellis Pharmaceuticals Inc,North America,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2915.825,Adopter,Insignificant,Neutral,,,Adopter,Adopter,Adopter,,,Insignificant,Insignificant,Insignificant,,,Neutral,Neutral,Neutral,,,Same,Same,,,Same,Same,,Same,Same,1.0,2,0.0,0
MGEE.O,MGEE-US,MGEE US,US55277P1049,"MGE Energy, Inc.",North America,Utilities,Utilities,2884.6255,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Moderate,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Up,Down,Same,Same,Same,Same,Same,1.0,2,0.0,0
HIW.N,HIW-US,HIW UN,US4312841087,Highwoods Properties,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),2836.353,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
BOX.N,BOX-US,BOX UN,US10316T1043,Box Inc,North America,Information Technology,Software & Services,3675.3013,Enabler/Adopter,Significant,Neutral,Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Significant,Significant,Significant,Significant,Significant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,3.0,2,0.0,0
LFST.O,LFST-US,LFST US,US53228F1012,"LifeStance Health Group, Inc.",North America,Health Care,Health Care Equipment & Services,2750.23,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Low ,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Up,Same,Same,1.0,2,0.0,0
IGAS.NS,532514-IN,IGL IS,INE203G01027,Indraprastha Gas Ltd.,Asia/Pacific,Utilities,Utilities,2747.1907,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
SCGP.BK,SCGP-TH,SCGP TB,TH0098010Y05,SCG Packaging PCL,Asia/Pacific,Materials,Materials,2739.8687,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
HG.N,HG-US,HG US,BMG427061046,Hamilton Insurance Group Ltd,North America,Financials,Insurance,2721.649,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
CNK.N,CNK-US,CNK UN,US17243V1026,"Cinemark Holdings, Inc.",North America,Communication Services,Media & Entertainment,2706.4578,Adopter,Insignificant,Low,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,Low,Low,Low,Same,Same,Same,Same,Same,Same,Same,Same,Down,Same,Same,1.0,1,0.0,0
MODG.N,MODG-US,MODG US,US1311931042,Topgolf Callaway Brands Corp.,North America,Consumer Discretionary,Consumer Durables & Apparel,2672.067,Adopter,Insignificant,Neutral,Don't Know,Adopter,Adopter,Adopter,Adopter,Don't Know,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Down,Same,Same,Same,Same,Same,Same,1.0,2,1.0,0
OUT1V.HE,OUT1V-FI,OUT1V FH,FI0009002422,Outokumpu Oyj,Europe,Materials,Materials,2665.6123,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
9006.T,9006-JP,9006 JP,JP3280200001,Keikyu,Japan,Industrials,Transportation,2648.4446,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
AMBP.N,AMBP-US,AMBP UN,LU2369833749,Ardagh Metal Packaging SA,North America,Materials,Materials,2647.811,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
688006.SS,688006-CN,688006 CG,CNE100003MW8,Zhejiang Hangke Technology,Asia/Pacific,Industrials,Capital Goods,2641.0596,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
ATHM.N,ATHM-US,ATHM UN,US05278C1071,Autohome Inc,Asia/Pacific,Communication Services,Media & Entertainment,2579.462,Adopter,Insignificant,Low,Disrupted,Adopter,Adopter,Adopter,Adopter,Moderate,Moderate,Insignificant,Insignificant,Insignificant,,Neutral,Low,Low,Low,Up,Same,Same,Same,Same,Down,Same,Same,Down,Same,Same,1.0,1,-1.0,0
DLPA.NS,539524-IN,DLPL IN,INE600L01024,Dr. Lal PathLabs Ltd,Asia/Pacific,Health Care,Health Care Equipment & Services,2534.804,Adopter,Insignificant,Neutral,,,Adopter,Adopter,Adopter,,,Insignificant,Insignificant,Insignificant,,,Neutral,Neutral,Neutral,,,Same,Same,,,Same,Same,,Same,Same,1.0,2,0.0,0
URC.PS,URC-PH,URC PM,PHY9297P1004,Universal Robina Corp,Asia/Pacific,Consumer Staples,Food Beverage & Tobacco,2531.4744,Adopter,Insignificant,Neutral,Adopter,Adopter,Don't Know,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Down,Up,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
CURB.N,CURB-US,CURB UN,US23128Q1013,Curbline Properties Corp.,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),2523.1755,Adopter,Insignificant,Neutral,,,,Adopter,Adopter,,,,Insignificant,Insignificant,,,,Neutral,Neutral,,,,Same,,,,Same,,,Same,1.0,2,0.0,0
4202.T,4202-JP,4202 JP,JP3485800001,Daicel,Japan,Materials,Materials,2507.5728,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
6141.T,6141-JP,6141 JT,JP3924800000,DMG Mori,Japan,Industrials,Capital Goods,2504.4983,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,High ,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Down,Same,Same,1.0,2,0.0,0
KAYN.NS,543664-IN,KAYNES IN,INE918Z01012,Kaynes Technology India Ltd,Asia/Pacific,Information Technology,Technology Hardware & Equipment,2480.5027,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
RCOP.PA,RCO-FR,RCO FP,FR0000130395,Remy Cointreau SA,Europe,Consumer Staples,Food Beverage & Tobacco,2466.5151,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
NSA.N,NSA-US,NSA UN,US6378701063,National Storage Affiliates Trust,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),2449.032,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
XRAY.O,XRAY-US,XRAY US,US24906P1093,Dentsply Sirona Inc,North America,Health Care,Health Care Equipment & Services,2447.865,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
UE.N,UE-US,UE UN,US91704F1049,Urban Edge Properties,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),2415.629,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
688326.SS,688326-CN,688326 CH,CNE1000059C2,Beijing Jingwei Hirain Technologies,Asia/Pacific,Consumer Discretionary,Automobiles & Components,2386.6892,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
8570.T,8570-JP,8570 JP,JP3131400008,Aeon Financial Service,Japan,Financials,Financial Services,2361.7515,Adopter,Insignificant,Neutral,,,Adopter,Adopter,Adopter,,,Insignificant,Insignificant,Insignificant,,,Neutral,Neutral,Neutral,,,Same,Same,,,Same,Same,,Same,Same,1.0,2,0.0,0
DPNT.NS,506401-IN,DN IS,INE288B01029,Deepak Nitrite Ltd,Asia/Pacific,Materials,Materials,2346.328,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
RARE.O,RARE-US,RARE US,US90400D1081,Ultragenyx Pharmaceutical Inc,North America,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2336.4485,Adopter,Insignificant,Neutral,Protected,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,High,High,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Down,1.0,2,0.0,0
9076.T,9076-JP,9076 JT,JP3415400005,Seino Holdings,Japan,Industrials,Transportation,2335.0164,Adopter,Insignificant,Low,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Low,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Down,1.0,1,0.0,0
WT.N,WT-US,WT UN,US97717P1049,WisdomTree Inc.,North America,Financials,Financial Services,2320.1982,Adopter,Insignificant,Neutral,Adopter,Adopter,Don't Know,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Down,Up,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
HBX.MC,HBX-ES,HBX SM,GB00BNXJB679,HBX Group International PLC,Europe,Consumer Discretionary,Consumer Services,2312.3645,Adopter,Insignificant,Neutral,,,,Adopter,Adopter,,,,Insignificant,Insignificant,,,,Neutral,Neutral,,,,Same,,,,Same,,,Same,1.0,2,0.0,0
SUL.AX,SUL-AU,SUL AU,AU000000SUL0,Super Retail Group Ltd,Asia/Pacific,Consumer Discretionary,Consumer Discretionary Distribution & Retail,2310.65,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Low,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Down,Up,1.0,2,0.0,0
INSP.N,INSP-US,INSP US,US4577301090,Inspire-Medical-Systems,North America,Health Care,Health Care Equipment & Services,2281.8225,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
ASAN.N,ASAN-US,ASAN UN,US04342Y1047,Asana Inc,North America,Information Technology,Software & Services,2478.548,Enabler/Adopter,Significant,Neutral,Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Significant,Significant,Significant,Significant,Significant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,3.0,2,0.0,0
GLPG.O,GLPG-US,GLPG US,US36315X1019,Galapagos NV,North America,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2249.0647,Adopter,Insignificant,Neutral,Protected,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
TECN.S,TECN-CH,TECN SE,CH0012100191,Tecan Group AG,Europe,Health Care,Pharmaceuticals Biotechnology & Life Sciences,2248.8323,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
8304.T,8304-JP,8304 JT,JP3711200000,Aozora Bank,Japan,Financials,Banks,2246.3608,Adopter,Insignificant,Neutral,Protected,Protected,Protected,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Up,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
PK.N,PK-US,PK UN,US7005171050,Park Hotels & Resorts Inc,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),2179.0298,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
9069.T,9069-JP,9069 JT,JP3423800006,Senko Group Holdings,Japan,Industrials,Transportation,2172.9854,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
ASHM.L,ASHM-GB,ASHM LN,GB00B132NW22,Ashmore Group PLC,Europe,Financials,Financial Services,2166.3086,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
IFL.AX,IFL-AU,IFL AU,AU000000IFL2,Insignia Financial Ltd,Asia/Pacific,Financials,Financial Services,2161.8726,Adopter,Insignificant,Neutral,Wildcard,Adopter,Adopter,Adopter,Adopter,Don't Know,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Down,Same,Same,Same,Same,Same,Same,1.0,2,1.0,0
VEA.AX,VEA-AU,VEA AU,AU0000016875,Viva Energy Group Ltd,Asia/Pacific,Energy,Energy,2124.0364,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Moderate,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Down,Same,Same,Same,Same,Same,Same,1.0,2,-1.0,0
RAIZ4.SA,RAIZ4-BR,RAIZ4 BZ,BRRAIZACNPR6,Raizen S.A.,Latin America,Consumer Discretionary,Consumer Discretionary Distribution & Retail,2056.1086,Adopter,Insignificant,Neutral,Protected,Protected,Protected,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Up,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
WIZZ.L,WIZZ-GB,WIZZ LN,JE00BN574F90,Wizz Air Holdings Plc,Europe,Industrials,Transportation,2044.2407,Adopter,Insignificant,Low,Enabler/Adopter,Enabler/Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Low ,Low,Low,Low,Same,Down,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,1,0.0,0
8078.T,8078-JP,8078 JT,JP3777800008,Hanwa,Japan,Industrials,Capital Goods,2036.2501,Adopter,Insignificant,High,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,High,Neutral,High,Same,Same,Same,Same,Same,Same,Same,Same,Same,Down,Up,1.0,3,0.0,0
TTCH.NS,500770-IN,TTCH IS,INE092A01019,Tata Chemicals Limited,Asia/Pacific,Materials,Materials,2004.1805,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
FMC.N,FMC-US,FMC UN,US3024913036,FMC Corporation,North America,Materials,Materials,1987.4772,Adopter,Insignificant,Neutral,Protected,Protected,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,High ,Neutral,Neutral,Neutral,Same,Up,Same,Same,Same,Same,Same,Same,Down,Same,Same,1.0,2,0.0,0
RNW.O,RNW-US,RNW US,GB00BNQMPN80,ReNew Energy Global PLC,Asia/Pacific,Utilities,Utilities,1970.0039,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
AAMI.N,AAMI-US,AAMI UN,US10948W1036,Acadian Asset Management Inc.,North America,Financials,Financial Services,1968.6372,Adopter,Insignificant,Neutral,,,,Adopter,Adopter,,,,Insignificant,Insignificant,,,,Neutral,Neutral,,,,Same,,,,Same,,,Same,1.0,2,0.0,0
BPT.AX,BPT-AU,BPT AU,AU000000BPT9,Beach Energy Ltd,Asia/Pacific,Energy,Energy,1933.659,Adopter,Insignificant,Low,Don't Know,Don't Know,,Adopter,Adopter,Moderate,Insignificant,,Insignificant,Insignificant,,Low ,,Low,Low,,,,Same,,,,Same,,,Same,1.0,1,-1.0,0
VAC.N,VAC-US,VAC UN,US57164Y1073,Marriott Vacations Worldwide Corp,North America,Consumer Discretionary,Consumer Services,1913.1157,Adopter,Insignificant,Neutral,,,,Adopter,Adopter,,,,Insignificant,Insignificant,,,,Neutral,Neutral,,,,Same,,,,Same,,,Same,1.0,2,0.0,0
SAIE.NS,544306-IN,SAILIFE IN,INE570L01029,Sai Life Sciences Ltd,Asia/Pacific,Health Care,Pharmaceuticals Biotechnology & Life Sciences,1901.6874,Adopter,Insignificant,Neutral,,,,Adopter,Adopter,,,,Insignificant,Insignificant,,,,Neutral,Neutral,,,,Same,,,,Same,,,Same,1.0,2,0.0,0
DRH.O,DRH-US,DRH US,US2527843013,DiamondRock Hospitality Co,North America,Real Estate,Equity Real Estate Investment Trusts (REITs),1873.8777,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
GSPT.NS,532702-IN,GUJS IS,INE246F01010,Gujarat State Petronet Ltd,Asia/Pacific,Utilities,Utilities,1871.0012,Adopter,Insignificant,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
4118.T,4118-JP,4118 JP,JP3215800008,Kaneka,Japan,Materials,Materials,1860.7404,Adopter,Insignificant,Neutral,,Adopter,Adopter,Adopter,Adopter,,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,,Same,Same,Same,,Same,Same,Same,Same,Same,Same,1.0,2,0.0,0
FUN.N,FUN-US,FUN US,US83001C1080,Six Flags Entertainment Corporation,North America,Consumer Discretionary,Consumer Services,1858.1028,Adopter,Insignificant,Low,Wildcard,Wildcard,Adopter,Adopter,Adopter,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Low,Same,Up,Same,Same,Same,Same,Same,Same,Same,Same,Down,1.0,1,0.0,0
383220.KS,383220-KR,383220 KP,KR7383220001,F&F,Asia/Pacific,Consumer Discretionary,Consumer Durables & Apparel,1826.7036,Adopter,Insignificant,Neutral,,,Adopter,Adopter,Adopter,,,Insignificant,Insignificant,Insignificant,,,Neutral,Neutral,Neutral,,,Same,Same,,,Same,Same,,Same,Same,1.0,2,0.0,0
6849.T,6849-JP,6849 JT,JP3706800004,Nihon Kohden,Japan,Health Care,Health Care Equipment & Services,1816.9424,Adopter,Insignificant,Neutral,Don't Know,Don't Know,Don't Know,Adopter,Adopter,Don't Know,Don't Know,Don't Know,Insignificant,Insignificant,,Neutral,Neutral,Neutral,Neutral,Same,Same,Up,Same,Same,Same,Down,Same,Same,Same,Same,1.0,2,1.0,0
